Question,Answer,Context
"Xin chào!","Xin chào! Rất vui được gặp bạn.", "Greeting"
"Hello!","Hello! Nice to meet you.", "Greeting"
"Chào bạn!","Chào bạn! Bạn có khỏe không?", "Greeting"
"Tạm biệt nhé!","Tạm biệt! Hẹn gặp lại bạn sau nhé.", "Farewell"
"Goodbye!","Goodbye! See you later.", "Farewell"
"Hẹn gặp lại!","Hẹn gặp lại bạn sau nhé!", "Farewell"
"Chào buổi sáng!","Chúc bạn một ngày tốt lành!", "Morning greeting"
"Good morning!","Good morning! Have a great day!", "Morning greeting"
"Chúc ngủ ngon!","Chúc bạn ngủ ngon nhé!", "Good night"
"Good night!","Good night! Sleep tight!", "Good night"
"Bye!","Bye! Take care!", "Casual goodbye"
"Bye!","Chúc bạn có một ngày làm việc hiệu quả!", "Wishing well"
"Bye bye!","Bye bye! See you soon!", "Casual goodbye"
"Hi!","Hi! How are you?", "Casual greeting"
"Hey!","Hey! What's up?", "Casual greeting"
"Goodbye!","Goodbye! Have a good day!", "Formal goodbye"
"See you later!","See you later! Take care!", "Formal goodbye"
"Chúc bạn vui vẻ!","Chúc bạn mọi điều tốt lành!", "Wishing well"
"Have a nice day!","Have a nice day! Enjoy your day!", "Wishing well"
"Ngày làm việc tốt lành!","Chúc bạn có một ngày làm việc hiệu quả!", "Wishing good workday"
"Have a productive day!","Have a productive day! Good luck!", "Wishing good workday"
